GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,Orden.example.Orden.service,OrdenService,90,333,10,30,22,72,9,24,2,11
,Orden.example.Orden.dto,OrdenResponseDto,9,99,6,8,0,26,4,5,0,2
,Orden.example.Orden.dto,OrdenResponseDto.HistorialDto,0,26,0,0,0,7,0,1,0,1
,Orden.example.Orden.dto,OrdenResponseDto.DetalleDto,0,26,0,0,0,7,0,1,0,1
,Orden.example.Orden.factory,OrdenFactory,0,64,0,0,0,21,0,3,0,3
,Orden.example.Orden.controller,HistorialController,6,102,5,7,1,21,5,5,0,4
,Orden.example.Orden.controller,OrdenController,88,122,6,8,13,24,6,10,2,7
,Orden.example.Orden.client,UsersClient,116,53,14,4,14,9,10,7,3,5
,Orden.example.Orden.client,EstadoClient,0,49,0,2,0,7,0,6,0,5
,Orden.example.Orden.client,ProductoClient,0,76,0,8,0,12,0,11,0,7
,Orden.example.Orden.security,JwtFilter,0,70,0,8,0,16,0,6,0,2
,Orden.example.Orden.security,JwtUtil,0,61,0,2,0,15,0,8,0,7
,Orden.example.Orden.messaging,OrdenEventProducer,0,33,0,0,0,8,0,4,0,4
